File_Name,Date,Time,Temp(F),Barometric_Pressure,Human,Coyote,Raccoon,Bunny,Beaver,Cat,Skunk,Unknown/Other,#_of_organisms,Activity(ies),First_Observers,Notes,Second_Observers
IMG_0013(2).JPG,5/21/2018,10:08PM,60,30.03,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0014(2).JPG,5/21/2018,10:08PM,60,30.03,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0015(2).JPG,5/21/2018,10:08PM,60,30.03,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0019(2).JPG,5/22/2018,8:59PM,62,30.18,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0022(2).JPG,5/23/2018,2:18AM,57,30.21,0,0,3,0,0,0,0,0,3,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0023(2).JPG,5/23/2018,2:18AM,57,30.21,0,0,3,0,0,0,0,0,3,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0024(2).JPG,5/23/2018,2:18AM,57,30.21,0,0,2,0,0,0,0,0,2,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0025(2).JPG,5/23/2018,3:17AM,57,30.21,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0026(2).JPG,5/23/2018,3:17AM,57,30.21,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0027(2).JPG,5/23/2018,3:17AM,57,30.21,0,0,1,0,0,0,0,0,1,wiggling tail,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0028(2).JPG,5/23/2018,9:07PM,68,30.09,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0029(2).JPG,5/23/2018,9:07PM,68,30.09,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0030(2).JPG,5/23/2018,9:07PM,68,30.09,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0031(2).JPG,5/23/2018,11:57PM,59,30.15,0,0,0,0,0,0,0,0,0,,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig",,"April Ann Fong, Michelle Hesek, Eleni Kondilis"
IMG_0035(2).JPG,5/23/2018,12:26AM,57,30.15,1,0,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Cyan Willms",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0038(2).JPG,5/24/2018,1:28AM,55,30.15,2,0,0,0,0,0,0,0,2,Looking at phone,"Fae Carpenter, April Ann Fong, Karon Rowe, Cyan Willms",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0039(2).JPG,5/24/2018,1:28AM,55,30.15,2,0,0,0,0,0,0,0,2,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Cyan Willms",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0040(2).JPG,5/24/2018,1:40AM,55,30.15,2,0,0,0,0,0,0,0,2,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Cyan Willms",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0043(2).JPG,5/24/2018,8:47AM,57,30.18,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0046(2).JPG,5/26/2018,1:39AM,51,30,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0050(2).JPG,5/26/2018,2:25AM,51,30,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0051(2).JPG,5/26/2018,2:25AM,51,30,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0052(2).JPG,5/27/2018,9:14PM,66,30.24,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0053(2).JPG,5/27/2018,9:14PM,66,30.24,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0054(2).JPG,5/27/2018,9:14PM,66,30.24,0,0,2,0,0,0,0,0,2,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0055(2).JPG,5/28/2018,2:17AM,60,30.3,0,1,0,0,0,0,0,0,1,standing,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0059(2).JPG,5/28/2018,4:09AM,60,30.3,0,0,0,0,0,0,0,1,1,lurking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",possum,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0060(2).JPG,5/28/2018,4:09AM,60,30.3,0,0,0,0,0,0,0,1,1,lurking,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig",possum,"April Ann Fong, Michelle Hesek, Eleni Kondilis"
IMG_0061(2).JPG,5/28/2018,4:18AM,60,30.3,0,0,0,1,0,0,0,0,1,running,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0062.JPG,5/28/2018,4:18AM,60,30.3,0,0,0,1,0,0,0,0,1,running,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0065.JPG,5/29/2018,10:01AM,64,30.12,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0070.JPG,5/30/2018,12:00AM,60,30.12,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0073.JPG,5/30/2018,8:35PM,71,30.15,1,0,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",with a stick,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0076.JPG,5/31/2018,3:42AM,59,30.24,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0077.JPG,5/31/2018,3:43AM,59,30.24,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",nose looks stumpy?,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0078.JPG,5/31/2018,3:43AM,59,30.24,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",tail is clearer,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0079.JPG,5/31/2018,4:20AM,59,30.24,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0080.JPG,5/31/2018,4:20AM,59,30.24,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0081.JPG,5/31/2018,4:20AM,59,30.24,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0082.JPG,5/31/2018,9:16AM,71,30.18,1,0,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0085.JPG,5/31/2018,11:59PM,62,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0086.JPG,5/31/2018,11:59PM,62,30.18,0,0,1,0,0,0,0,0,1,walking,"April Ann Fong, Fae Carpenter, Eleni Kondilis",Pair of eyes visible from trail,"April Ann Fong, Michelle Hesek, Eleni Kondilis"
IMG_0087.JPG,5/31/2018,11:59PM,62,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0088.JPG,6/1/2018,1:31AM,60,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0091.JPG,6/1/2018,1:55AM,60,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0092.JPG,6/1/2018,1:55AM,60,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0093.JPG,6/1/2018,1:55AM,60,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0094.JPG,6/1/2018,1:56AM,60,30.18,0,0,1,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0116.JPG,6/2/2018,12:14AM,60,30.12,0,0,2,0,0,0,0,0,2,"walking, dancing","Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0117.JPG,6/2/2018,12:14AM,60,30.12,0,0,2,0,0,0,0,0,2,"walking, dancing","Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0118.JPG,6/2/2018,12:26AM,60,30.12,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0130.JPG,6/3/2018,8:37PM,66,30.27,1,0,0,0,0,0,0,0,1,using phone,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0131.JPG,6/3/2018,8:37PM,66,30.27,1,0,0,0,0,0,0,0,1,using phone,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0132.JPG,6/3/2018,8:37PM,66,30.27,1,0,0,0,0,0,0,0,1,using phone,"Fae Carpenter, April Ann Fong, Karon Rowe, Shannon Ansley",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0133.JPG,6/3/2018,8:38PM,68,30.27,1,0,0,0,0,0,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0134.JPG,6/3/2018,8:38PM,68,30.27,1,0,0,0,0,0,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0136.JPG,6/4/2018,11:59PM,64,30.24,0,0,0,0,0,0,2,0,2,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0138.JPG,6/4/2018,11:59PM,64,30.24,0,0,0,0,0,0,1,0,1,perching,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0139.JPG,6/4/2018,12:56AM,62,30.24,5,0,0,0,0,0,0,0,5,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0140.JPG,6/5/2018,12:56AM,62,30.24,4,0,0,0,0,0,0,0,4,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0147.JPG,6/6/2018,11:21PM,57,30.24,0,0,0,0,0,0,0,0,0,n/a,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0149.JPG,6/7/2018,1:49AM,55,30.27,0,0,2,0,0,0,0,0,2,moving in the grass,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0150.JPG,6/7/2018,1:49AM,55,30.27,0,0,1,0,0,0,0,0,1,moving in the grass,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0152.JPG,6/8/2018,11:08PM,59,30.53,0,0,0,0,1,0,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0153.JPG,6/8/2018,11:08PM,59,30.53,0,0,0,0,1,0,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0154.JPG,6/9/2018,10:17PM,68,30.38,0,0,0,0,0,1,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0155.JPG,6/9/2018,10:17PM,68,30.38,0,0,0,0,0,1,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0156.JPG,6/9/2018,10:17PM,68,30.38,0,0,0,0,0,1,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
IMG_0161.JPG,6/12/2018,11:08PM,77,30.03,0,1,0,0,0,0,0,0,1,walking,"Fae Carpenter, Hailey, April Ann Fong, Karon Rowe, Michelle Hesek",,"April Ann Fong, Fae Carpenter, Eleni Kondilis"
